ID,Region,City,Address,MinPricePerSqMeter,AvgPricePerSqMeter,MaxPricePerSqMeter,OffersCount,TotalFloors,YaLowerCorner,YaUpperCorner,WktPoint,Lat,Lon,OnDate,Source
142664,"Московская область","Реутов","Московская область, Реутов, улица Победы, 30",122000,122000,122000,1,9,"37.843193 55.765579","37.851404 55.770208","POINT(37.847299 55.767894)","55.767894","37.847299","2016-10-01 00:00:00","myData.biz"
142665,"Московская область","Реутов","Московская область, Реутов, Носовихинское шоссе, 23",130000,133000,136000,3,14,"37.871239 55.746015","37.879449 55.750646","POINT(37.875344 55.748331)","55.748331","37.875344","2016-10-01 00:00:00","myData.biz"
142666,"Московская область","Реутов","Московская область, Реутов, Носовихинское шоссе, 15",128000,138000,144000,7,9,"37.866388 55.745868","37.874598 55.750499","POINT(37.870493 55.748184)","55.748184","37.870493","2016-10-01 00:00:00","myData.biz"
142667,"Московская область","Реутов","Московская область, Реутов, Новая улица, 10",117000,129000,145000,4,14,"37.851233 55.755262","37.859444 55.759892","POINT(37.855338 55.757577)","55.757577","37.855338","2016-10-01 00:00:00","myData.biz"
142668,"Московская область","Реутов","Московская область, Реутов, Молодёжная улица, 6",115000,117000,120000,2,14,"37.845888 55.744531","37.854099 55.749162","POINT(37.849993 55.746846)","55.746846","37.849993","2016-10-01 00:00:00","myData.biz"
142669,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 8",130000,154000,174000,5,16,"37.853668 55.744728","37.861878 55.749359","POINT(37.857773 55.747044)","55.747044","37.857773","2016-10-01 00:00:00","myData.biz"
142670,"Московская область","Реутов","Московская область, Реутов, улица Дзержинского, 9",92000,114000,129000,9,17,"37.852329 55.750287","37.86054 55.754917","POINT(37.856434 55.752602)","55.752602","37.856434","2016-10-01 00:00:00","myData.biz"
156919,"Московская область","Реутов","Московская область, Реутов, Советская улица, 35",105000,110000,115000,3,5,"37.858959 55.767808","37.867169 55.772436","POINT(37.863064 55.770122)","55.770122","37.863064","2016-10-01 00:00:00","myData.biz"
163038,"Московская область","Реутов","Московская область, Балашиха, микрорайон Салтыковка, Носовихинское шоссе, 69",133000,133000,133000,2,25,"37.892951 55.750368","37.901162 55.754998","POINT(37.897056 55.752683)","55.752683","37.897056","2016-10-01 00:00:00","myData.biz"
157347,"Московская область","Реутов","Московская область, Реутов, улица Гагарина, 5А",88000,116000,145000,2,5,"37.853326 55.761244","37.861537 55.765873","POINT(37.857432 55.763559)","55.763559","37.857432","2016-10-01 00:00:00","myData.biz"
166242,"Московская область","Реутов","Московская область, Реутов, Молодёжная улица, 5",140000,155000,171000,2,9,"37.845304 55.745235","37.853515 55.749866","POINT(37.84941 55.747551)","55.747551","37.84941","2016-11-01 00:00:00","myData.biz"
169320,"Московская область","Реутов","Московская область, Реутов, Лесная улица, 9",133000,133000,133000,1,12,"37.847541 55.75781","37.855752 55.762439","POINT(37.851646 55.760125)","55.760125","37.851646","2016-11-01 00:00:00","myData.biz"
